Player,Squad,Pos,Min,90s,GA,Saves,SoTA,GK_Efficiency,GA_p90,Save%,GA_minus_xGA,GK_Goals_Added
Rafael Cabral,Real Salt Lake,GK,208,2.31,2,10,12,89.25,0.865,83.3,-2.7051,3.5643000000000002
Hugo Lloris,Los Angeles FC,GK,208,2.31,0,6,6,87.09,0.0,100.0,-1.5142,2.2249
Yohei Takaoka,Vancouver Whitecaps FC,GK,203,2.26,0,4,4,83.47,0.0,100.0,-1.0801,1.9956
Roman Celentano,FC Cincinnati,GK,205,2.28,1,7,8,80.16,0.439,87.5,-1.4825,2.2543
Sean Johnson,D.C. United,GK,197,2.19,1,10,12,78.25,0.457,83.3,-1.5583,2.0625
Kristijan Kahlina,Charlotte FC,GK,199,2.21,4,19,23,76.99,1.809,82.6,-2.0617,2.9136
Daniel,San Jose Earthquakes,GK,194,2.16,0,2,2,75.51,0.0,100.0,-0.3698,1.1341
Duran Michael Ferree,San Diego FC,GK,197,2.19,0,4,4,75.18,0.0,100.0,-0.3002,1.1593
Drake Callender,Minnesota United FC,GK,201,2.23,2,8,10,69.48,0.896,80.0,-1.0244,1.6214
Brad Stuver,Austin FC,GK,195,2.17,2,4,6,63.49,0.923,66.7,-0.8165,1.6442
Brian Schwake,Nashville SC,GK,202,2.24,1,2,3,62.53,0.446,66.7,-0.44980000000000003,1.3048
Ethan Horvath,New York Red Bulls,GK,200,2.22,1,6,9,61.02,0.45,66.7,-0.2513,1.2426
Zack Steffen,Colorado Rapids,GK,213,2.37,2,6,8,60.57,0.845,75.0,-0.2637,0.9571000000000001
Maxime Crépeau,Orlando City SC,GK,209,2.32,6,15,21,60.18,2.584,71.4,-1.269,2.045
Matt Freese,New York City FC,GK,211,2.34,2,9,11,60.04,0.853,81.8,-0.0639,0.5637
Matt Turner,New England Revolution,GK,200,2.22,5,7,12,57.12,2.25,58.3,-1.3383,1.856
James Pantemis,Portland Timbers FC,GK,202,2.24,4,9,13,53.47,1.782,69.2,-0.27390000000000003,0.9983000000000001
Chris Brady,Chicago Fire FC,GK,205,2.28,2,4,6,53.14,0.878,66.7,0.1965,0.594
Andrew Thomas,Seattle Sounders FC,GK,217,2.41,2,6,8,52.41,0.829,75.0,0.5923,0.2406
Novak Mićović,LA Galaxy,GK,204,2.27,1,1,2,51.77,0.441,50.0,-0.013300000000000001,0.7642
Andre Blake,Philadelphia Union,GK,205,2.28,3,7,10,51.61,1.317,70.0,0.2129,0.5703
Michael Collodi,FC Dallas,GK,203,2.26,2,4,6,44.62,0.887,66.7,0.9772000000000001,-0.2844
Roman Bürki,St. Louis City SC,GK,198,2.2,3,6,9,44.37,1.364,66.7,0.7983,0.0386
Lucas Hoyos,Atlanta United FC,GK,197,2.19,4,3,8,37.43,1.827,37.5,0.224,0.6077
Jonathan Bond,Houston Dynamo FC,GK,203,2.26,3,6,9,36.44,1.33,66.7,1.5353,-0.8221
Patrick Schulte,Columbus Crew,GK,203,2.26,5,5,10,36.22,2.217,50.0,0.4858,0.1857
Thomas Gillier,CF Montréal,GK,204,2.27,8,9,18,30.76,3.529,50.0,0.14250000000000002,0.15430000000000002
John Pulskamp,Sporting Kansas City,GK,200,2.22,5,6,11,30.2,2.25,54.5,1.217,-0.5133
Dayne St. Clair,Inter Miami CF,GK,211,2.34,5,5,11,28.14,2.133,45.5,1.0267,-0.6898000000000001
Luka Gavran,Toronto FC,GK,204,2.27,6,1,7,5.0,2.647,14.3,2.1779,-1.2257
