team_id,Squad,ga_for_passing,ga_against_passing,ga_for_interrupting,ga_against_interrupting,ga_for_shooting,ga_against_shooting,ga_for_receiving,ga_against_receiving,ga_for_fouling,ga_against_fouling,ga_for_dribbling,ga_against_dribbling,ga_for_claiming,ga_against_claiming
0KPqjA456v,San Jose Earthquakes,1.2775,-0.1964,1.306,1.4804,1.0105,0.5325,2.8884,1.7806,0.1322,0.1824,0.4002,-0.4215,0.0223,0.0152
19vQ2095K6,New England Revolution,-0.1737,-0.3266,1.2135,1.174,0.2323,0.8708,0.7531,1.6097,0.071,0.0784,-0.1107,0.2988,0.0,0.0109
9z5k7Yg5A3,Philadelphia Union,-0.1626,0.3692,2.148,1.9105,0.9437,0.847,2.3231,2.1314,0.3899,0.1091,-0.3202,0.0483,0.0035,0.0387
APk5LGOMOW,CF Montréal,-0.545,0.2859,2.9155,0.9814,0.4306,1.2603,0.8453,2.4954,0.3726,0.3875,0.2857,0.3249,0.0318,0.0149
EKXMeX3Q64,D.C. United,0.0195,0.4568,0.6828,2.0792,0.6319,1.0315,1.3215,1.5287,0.0951,0.1141,-0.2408,0.3981,0.0164,0.0251
KAqBN0Vqbg,Atlanta United FC,-0.7734,1.1026,1.214,1.9117,0.7757,0.9122,1.5024,2.5291,0.0607,0.049,0.1265,0.7992,0.0062,0.0058
NPqxKXZ59d,Charlotte FC,0.2999,0.6746,0.0822,0.6993,1.156,0.9903,1.1003,2.0364,0.1423,0.1408,0.8428,0.969,0.0307,0.0113
NWMWlBK5lz,FC Cincinnati,-0.4112,-0.4413,1.7898,2.2363,1.0423,0.8675,2.0482,1.0825,0.1616,0.0944,0.4468,0.4329,0.019,0.0124
Vj58weDM8n,New York City FC,-0.2704,-0.2689,1.0372,1.6628,0.9083,0.6628,1.8565,1.4018,0.5368,0.3887,1.1116,-0.3156,0.0053,0.0111
WBLMvYAQxe,Portland Timbers FC,-0.1596,-0.0681,1.8229,1.4038,0.7355,1.6328,1.4154,2.2333,0.0863,0.1393,-0.0761,1.2996,0.01,0.0134
X0Oq66zq6D,Chicago Fire FC,0.3911,-0.3765,1.6334,1.5978,0.9468,0.8664,1.6057,1.0859,0.3573,0.0922,0.3154,0.0094,0.0082,0.0051
YgOMngl5wN,Houston Dynamo FC,-0.9214,0.2448,1.2364,1.5667,0.6461,0.5064,0.7863,0.9698,0.0804,0.0829,0.1659,0.1039,0.0059,0.0011
Z2vQ1xlqrA,Sporting Kansas City,-0.0993,0.6561,2.7626,1.2862,0.6103,1.3221,0.9226,3.1712,0.1467,0.3754,0.0619,0.1444,0.0439,-0.0601
a2lqR4JMr0,Real Salt Lake,0.4978,0.8254,1.6371,1.1877,0.8483,1.1537,1.6345,2.6337,0.0591,0.153,0.4294,0.6568,0.0225,0.0068
a2lqRX2Mr0,New York Red Bulls,-0.9418,0.3824,1.926,2.6342,1.2699,0.8711,2.3584,1.3931,0.0821,0.4167,0.8355,-0.0625,-0.0903,0.0349
eVq3ya6MWO,Los Angeles FC,1.3689,-0.535,2.0578,1.0266,1.1912,0.9929,2.1582,1.6968,0.0965,0.1627,0.9855,0.5554,0.0052,0.0257
gpMOLwl5zy,Austin FC,0.7479,0.3275,0.841,-0.0614,0.9051,1.2817,1.5361,1.8716,0.1199,0.1172,0.4917,0.8139,0.0094,0.0071
jYQJ19EqGR,Seattle Sounders FC,0.54,-0.0932,2.1048,0.8597,1.0164,0.9356,1.4157,1.6594,0.1324,0.0387,0.5781,-0.0115,-0.2365,0.0187
jYQJ8EW5GR,Orlando City SC,0.7528,-0.3753,1.4571,1.5675,0.9385,1.4218,1.4096,2.2888,0.1474,0.3863,-0.2327,1.7464,0.0259,-0.1069
kRQabn8MKZ,Toronto FC,0.2521,0.2583,1.8469,2.0326,0.5971,1.0509,1.6879,2.0521,0.159,0.4001,-0.4265,-0.2861,0.0616,0.0231
