team_id,Squad,GP,GF,GA,GD,xGF,xGA,xGD,GD_minus_xGD,SF,SA,Pts,xPts,Team_Efficiency
0KPqjA456v,San Jose Earthquakes,2,5,0,5,5.2306,1.5121,3.7186,1.2814,28,15,6,5.217,96.32
X0Oq66zq6D,Chicago Fire FC,2,4,2,2,4.1272,0.9769000000000001,3.1503,-1.1503,23,14,3,4.163,87.17
lgpMOvnQzy,Vancouver Whitecaps FC,2,4,0,4,3.6358,1.0164,2.6194,1.3806,27,15,6,4.74,84.93
eVq3ya6MWO,Los Angeles FC,2,5,0,5,4.98,2.2568,2.7231,2.2769,33,24,6,4.51,84.18
a2lqRX2Mr0,New York Red Bulls,2,3,1,2,4.5665000000000004,2.5289,2.0376,-0.0376,34,22,6,4.132,76.41
gpMOLwl5zy,Austin FC,2,3,2,1,3.9737,2.1828,1.7909,-0.7909,28,18,4,3.945,73.65
vzqoOgNqap,Nashville SC,2,4,1,3,3.3446,1.4781,1.8666,1.1334,21,13,4,3.694,73.64
wvq9B9wQWn,St. Louis City SC,2,1,3,-2,3.3713,1.9075,1.4638,-3.4638,28,18,1,3.78,70.24
Vj58weDM8n,New York City FC,2,3,2,1,3.9196,2.648,1.2716,-0.2716,23,24,4,3.8770000000000002,68.55
kaDQ0wRqEv,LA Galaxy,2,4,1,3,3.489,2.0024,1.4866,1.5134,22,14,4,3.24,68.1
zeQZBOzQKw,San Diego FC,2,7,0,7,2.6782,1.5601,1.1182,5.8818,20,12,6,3.53,66.34
pzeQZ6xQKw,Colorado Rapids,2,2,2,0,3.4023,2.3249,1.0774,-1.0774,32,27,3,3.358,64.83
kRQand1MKZ,Minnesota United FC,2,3,2,1,3.5073,2.8770000000000002,0.6302,0.3698,27,23,4,3.276,60.25
NWMWlBK5lz,FC Cincinnati,2,2,1,1,2.9948,2.3769,0.6179,0.3821,24,24,3,3.227,60.21
mvzqoLZQap,Columbus Crew,2,4,5,-1,3.4428,2.868,0.5747,-1.5747,25,20,1,3.033,58.74
jYQJ19EqGR,Seattle Sounders FC,2,3,2,1,3.2237,2.788,0.43570000000000003,0.5643,29,24,3,3.027,57.54
mKAqBBmqbg,FC Dallas,2,3,2,1,2.3475,2.0584,0.289,0.711,22,19,4,2.957,56.36
9z5k7Yg5A3,Philadelphia Union,2,1,3,-2,3.0271,3.3423,-0.31520000000000004,-1.6848,28,20,0,2.514,48.47
YgOMngl5wN,Houston Dynamo FC,2,2,3,-1,2.0486,2.8695,-0.8209000000000001,-0.1791,22,24,3,2.197,42.96
a2lqR4JMr0,Real Salt Lake,2,2,2,0,2.5027,3.4151,-0.9123,0.9123,26,27,3,2.03,41.14
zeQZkL1MKw,Inter Miami CF,2,4,5,-1,2.738,3.8702,-1.1322,0.1322,27,25,3,2.37,40.4
WBLMvYAQxe,Portland Timbers FC,2,3,4,-1,2.3447,3.7471,-1.4024,0.40240000000000004,24,39,3,2.01,36.57
kRQabn8MKZ,Toronto FC,2,2,6,-4,2.1011,3.5754,-1.4744,-2.5256,17,27,0,1.783,35.08
EKXMeX3Q64,D.C. United,2,1,1,0,1.4363,3.0119,-1.5757,1.5757,14,30,3,1.774,34.46
jYQJ8EW5GR,Orlando City SC,2,3,6,-3,3.0354,5.0912,-2.0558,-0.9442,27,37,0,1.419,27.59
Z2vQ1xlqrA,Sporting Kansas City,2,2,5,-3,2.2435,4.8648,-2.6213,-0.37870000000000004,15,27,1,1.092,21.37
19vQ2095K6,New England Revolution,2,1,5,-4,1.0444,3.9441,-2.8997,-1.1003,9,26,0,0.929,18.75
KAqBN0Vqbg,Atlanta United FC,2,0,4,-4,1.4481,4.5367,-3.0887000000000002,-0.9113,16,22,0,0.779,16.13
NPqxKXZ59d,Charlotte FC,2,1,4,-3,1.1956,5.3396,-4.144,1.144,12,36,1,0.536,5.4
APk5LGOMOW,CF Montréal,2,0,8,-8,0.484,4.913,-4.429,-3.571,10,27,0,0.489,2.93
