team_id,Squad,attempted_passes_for,pass_completion_percentage_for,xpass_completion_percentage_for,passes_completed_over_expected_p100_for,avg_vertical_distance_for,pass_completion_percentage_against,xpass_completion_percentage_against,passes_completed_over_expected_p100_against,avg_vertical_distance_against,passes_completed_over_expected_difference
0KPqjA456v,San Jose Earthquakes,879,0.777,0.7678,0.918,6.1778,0.8335,0.8387,-0.5222,4.7887,13.6204
19vQ2095K6,New England Revolution,847,0.8005,0.8076,-0.7153,5.3909,0.8489,0.8445,0.4403,3.7121,-11.6236
9z5k7Yg5A3,Philadelphia Union,952,0.7332000000000001,0.7623000000000001,-2.9131,7.1099,0.76,0.7907000000000001,-3.0626,7.2166,2.0051
APk5LGOMOW,CF Montréal,799,0.7835000000000001,0.8042,-2.0723,6.2955,0.8288000000000001,0.8294,-0.061500000000000006,4.4532,-15.8858
EKXMeX3Q64,D.C. United,772,0.7319,0.7598,-2.7917,8.6983,0.7503000000000001,0.7912,-4.0869,7.4554,13.4734
KAqBN0Vqbg,Atlanta United FC,932,0.8015,0.8154,-1.3865,5.8079,0.789,0.7776000000000001,1.142,6.4403,-23.3141
NPqxKXZ59d,Charlotte FC,922,0.8232,0.8212,0.20320000000000002,5.3934,0.8726,0.8526,1.9964,3.4762,-22.8828
NWMWlBK5lz,FC Cincinnati,933,0.7835000000000001,0.768,1.5451,6.6012,0.7619,0.784,-2.2122,6.329,32.0685
Vj58weDM8n,New York City FC,1208,0.8336,0.8329000000000001,0.073,4.5263,0.7549,0.7622,-0.7362000000000001,6.8668000000000005,7.3085
WBLMvYAQxe,Portland Timbers FC,983,0.8352,0.8331000000000001,0.2121,4.8447000000000005,0.8529,0.8296,2.3295,3.9268,-24.8447
X0Oq66zq6D,Chicago Fire FC,923,0.7757000000000001,0.8003,-2.4598,5.8606,0.7862,0.8130000000000001,-2.6762,5.8545,0.9539000000000001
YgOMngl5wN,Houston Dynamo FC,746,0.8056000000000001,0.8108000000000001,-0.5128,5.6592,0.878,0.8706,0.7384000000000001,3.3693,-13.6306
Z2vQ1xlqrA,Sporting Kansas City,940,0.8074,0.8225,-1.5030000000000001,5.0098,0.809,0.7801,2.8845,5.0056,-43.1173
a2lqR4JMr0,Real Salt Lake,773,0.7878000000000001,0.7882,-0.038400000000000004,6.7701,0.836,0.8308000000000001,0.5222,4.6034,-6.2183
a2lqRX2Mr0,New York Red Bulls,1080,0.8157000000000001,0.7993,1.6454,5.976,0.7205,0.7569,-3.6383,8.0297,46.1488
eVq3ya6MWO,Los Angeles FC,1150,0.8843000000000001,0.867,1.7351,3.8743,0.8601000000000001,0.8464,1.3746,3.5471,4.229
gpMOLwl5zy,Austin FC,926,0.8175,0.8128000000000001,0.46900000000000003,5.5912,0.7592,0.7602,-0.10310000000000001,7.1599,5.1004
jYQJ19EqGR,Seattle Sounders FC,1006,0.7773,0.7995,-2.2186,5.2139,0.8092,0.8129000000000001,-0.37210000000000004,4.8829,-18.8474
jYQJ8EW5GR,Orlando City SC,865,0.7873,0.807,-1.9723,6.3871,0.8428,0.8107000000000001,3.2097,4.8811,-53.2011
kRQabn8MKZ,Toronto FC,977,0.8055,0.8117000000000001,-0.6182000000000001,5.7618,0.8173,0.8290000000000001,-1.1673,5.1331,6.2287
kRQand1MKZ,Minnesota United FC,803,0.7634000000000001,0.7768,-1.34,6.541,0.8113,0.7945,1.6723000000000001,5.508,-27.6839
kaDQ0wRqEv,LA Galaxy,1101,0.8674000000000001,0.8569,1.0498,4.0387,0.8659,0.8528,1.3065,3.9791,-2.7604
lgpMOvnQzy,Vancouver Whitecaps FC,1174,0.8543000000000001,0.8547,-0.031100000000000003,4.2265,0.8114,0.8092,0.22340000000000002,5.5755,-2.2478
mKAqBBmqbg,FC Dallas,927,0.7843,0.7981,-1.3821,6.3313,0.8226,0.8153,0.7224,5.6142,-20.7513
mvzqoLZQap,Columbus Crew,1247,0.8388,0.8083,3.0528,4.297,0.8035,0.8149000000000001,-1.14,5.5407,49.1497
pzeQZ6xQKw,Colorado Rapids,1070,0.8486,0.8413,0.7249,3.3685,0.7887000000000001,0.8128000000000001,-2.4107,5.1852,28.6334
vzqoOgNqap,Nashville SC,1207,0.8658,0.8508,1.5028,3.5746,0.837,0.8302,0.683,4.5355,11.3086
wvq9B9wQWn,St. Louis City SC,954,0.8208000000000001,0.8166,0.4138,4.6841,0.8517,0.844,0.7702,3.8702,-6.1272
zeQZBOzQKw,San Diego FC,1540,0.8877,0.8723000000000001,1.5331000000000001,2.6176,0.8171,0.8221,-0.4934,5.2329,27.4136
zeQZkL1MKw,Inter Miami CF,1473,0.873,0.8505,2.2568,2.909,0.812,0.8274,-1.5353,6.1333,45.4943
